name,url,category,protocols
PancakeSwap,https://pancakeswap.finance/,defi,binance-smart-chain
Splinterlands,https://splinterlands.com/,games,"hive,wax"
Alien Worlds,https://alienworlds.io/,games,"wax,binance-smart-chain"
CryptoMines,https://cryptomines.app/,games,binance-smart-chain
Axie Infinity,https://axieinfinity.com/,games,"ronin,ethereum"
AtomicAssets,https://atomicassets.io/,other,"wax,eos"
Farmers World,https://farmersworld.io/,games,wax
Upland,https://www.upland.me/,games,eos
NBA TopShot,https://nbatopshot.com/,collectibles,flow
Trader Joe,https://traderjoexyz.com/,exchanges,avalanche
Bomb Crypto,https://bombcrypto.io/,games,binance-smart-chain
Katana,https://katana.roninchain.com/#/swap?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website,defi,ronin
AtomicMarket,https://wax.atomicmarket.io/,marketplaces,"wax,eos"
BabySwap,https://home.babyswap.finance/,defi,binance-smart-chain
MOBOX: NFT Farmer,https://www.mobox.io/,games,binance-smart-chain
Raydium,https://raydium.io/swap/,defi,solana
Biswap,https://biswap.org/,defi,binance-smart-chain
Galaxy Blocks,https://esports.win4.fun/g/space-tetris,games,thundercore
PlayMining,https://playmining.com/,games,dep
Uniswap,https://app.uniswap.org/,exchanges,ethereum
QuickSwap,https://quickswap.exchange/,exchanges,polygon
OpenSea,https://opensea.io/,marketplaces,"ethereum,polygon"
DeFi Kingdoms,https://defikingdoms.com/,games,harmony
BinaryX,https://game.binaryx.pro/,games,binance-smart-chain
Arc8 by GAMEE,https://www.gamee.com/arc8,games,polygon
Magic Eden,https://magiceden.io/,marketplaces,solana
Alcor.exchange,https://wax.alcor.exchange/,exchanges,"wax,eos,telos"
ApeSwap,https://apeswap.finance/,defi,"binance-smart-chain,polygon"
BNBMatrix,https://bnbmatrix.io/,high-risk,binance-smart-chain
AutoShark Finance,https://autoshark.finance/,defi,"binance-smart-chain,polygon"
CryptoBlades,https://app.cryptoblades.io/,games,"binance-smart-chain,polygon,heco,okexchain"
Sushi,https://app.sushi.com/en/swap,defi,"ethereum,binance-smart-chain,okexchain,avalanche,harmony,polygon"
ZOO - Crypto World,https://zoogame.app/,games,binance-smart-chain
Jade Protocol,https://jadeprotocol.io/,defi,binance-smart-chain
1inch Network,https://app.1inch.io/,defi,"ethereum,binance-smart-chain,polygon"
Yup,https://app.yup.io/,social,eos
Mdex,https://bsc.mdex.co/#/referral?id=7Ah6jjRy?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website,exchanges,"binance-smart-chain,heco"
PROSPECTORS,https://grandland.prospectors.io/,games,"wax,eos"
CryptoBay,https://cryptobay.top/,games,binance-smart-chain
Crazy Defense Heroes,https://crazydefenseheroes.com/,games,"ethereum,polygon"
X World Games,https://xwg.games/,games,binance-smart-chain
DRIP,https://drip.community/,defi,binance-smart-chain
TTGuess,https://ttguess-b5023.web.app/,gambling,thundercore
PolyFractal Trade,https://polyfractal.trade/,high-risk,"polygon,binance-smart-chain"
MetaverseMiner,http://www.meta.auto/,games,binance-smart-chain
Orca,https://www.orca.so/,defi,solana
Serious Dice,https://playdice.xyz/dice,gambling,thundercore
Metamon,https://metamon.radiocaca.com/,games,binance-smart-chain
Jelly Squish,https://esports.win4.fun/g/jelly-squish,games,thundercore
HeroFi,https://app.herofi.io/,games,binance-smart-chain
SunSwap,https://sunswap.com/,exchanges,tron
KLAYswap,https://klayswap.com/,exchanges,klaytn
Taco,https://tacocrypto.io/,other,wax
DNAxCAT,https://market.dnaxcat.io/,games,binance-smart-chain
Solanart,https://solanart.io/,marketplaces,solana
TT-PLINKO,https://scgames.io/plinko,gambling,thundercore
Polygon POS Bridge,https://wallet.polygon.technology/,defi,ethereum
TT-KENO,https://scgames.io/keno,gambling,thundercore
BlockchainRPG,https://blockchainrpg.io/,games,wax
tofuNFT,https://tofunft.com/,marketplaces,"binance-smart-chain,ethereum,avalanche,polygon"
Steemit,https://steemit.com/,social,steem
SAMURAI,https://game.samurai.gold/,games,okexchain
Saber,https://app.saber.so/,defi,solana
NFT Panda: World of Fantasy,https://game.nftpanda.space/,games,wax
Pangolin Exchange,https://app.pangolin.exchange/,defi,avalanche
Dice Planet,https://www.diceplanet.xyz/,gambling,thundercore
NeftyBlocks,https://neftyblocks.com/,marketplaces,wax
ShibaSwap,https://shibaswap.com/#/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website,defi,"ethereum,binance-smart-chain"
Mars Ecosystem,https://app.marsecosystem.com/home,defi,binance-smart-chain
Nine Chronicles,https://nine-chronicles.com/,games,other
CryptoPlanes,https://cryptoplanes.me/,games,binance-smart-chain
Aave,https://app.aave.com/,defi,"ethereum,avalanche,polygon"
Gods Unchained,https://godsunchained.com/,games,"ethereum,immutablex"
Position Exchange,https://app.position.exchange/,defi,binance-smart-chain
R-PLANET,https://rplanet.io/,games,wax
Solend,https://solend.fi/,defi,solana
DeHero,https://game.dehero.co/,games,binance-smart-chain
Farming Tales,https://play.farmingtales.io/,games,wax
Bogged.Finance,https://app.bogged.finance/,exchanges,binance-smart-chain
REVV Racing,https://www.revvracing.com/,games,polygon
PeakD,https://peakd.com/,social,hive
Radio Caca Market,https://market.radiocaca.com/,marketplaces,binance-smart-chain
Pegaxy,https://play.pegaxy.io/,games,polygon
objkt.com,https://objkt.com/,marketplaces,tezos
LUMINOUS,https://luminous.games/,gambling,tron
MiningTycoon,https://mt.nextype.finance/,gambling,"binance-smart-chain,heco,other"
ZIPPY,https://zippydapps.com/,defi,thundercore
Solsea,https://solsea.io/,marketplaces,solana
ViperSwap,https://viper.exchange/,defi,harmony
Solana Farm,https://solanafarm.finance/,defi,binance-smart-chain
DODO,https://app.dodoex.io/,defi,"ethereum,polygon,binance-smart-chain,okexchain"
BUSDMatrix,https://busdmatrix.io/,high-risk,binance-smart-chain
Venus,https://venus.io/,defi,binance-smart-chain
CherrySwap,https://www.cherryswap.net/,defi,okexchain
Xpansion,https://xpsgame.io/,games,wax
Aavegotchi,https://aavegotchi.com/,games,polygon
BNB Miner,https://bnbminer.finance/,high-risk,binance-smart-chain
EVODeFi bridge,https://bridge.evodefi.com/,other,"ethereum,polygon,binance-smart-chain,avalanche,other"
Kawaii Islands,https://kawaii.global/,games,binance-smart-chain
JustLend,https://justlend.org/#/home?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website,defi,tron
Elk Finance,https://app.elk.finance/,defi,"polygon,avalanche,binance-smart-chain,heco,okexchain,harmony"
ARKEN Finance,https://swap.arken.finance/,exchanges,"binance-smart-chain,avalanche,polygon,ethereum"
Midgard Clash,https://midgard.cards/,games,wax
My DeFi Pet,https://www.mydefipet.com/,games,binance-smart-chain
TRUMPSWAP,https://app.trumpswap.io/,defi,binance-smart-chain
Hive Blog,https://hive.blog/,social,hive
dev DeFi,https://devdefi.finance/#/?utm_source=dappradar&utm_medium=refferal&utm_campaign=listingdapp&utm_content=none?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website,defi,binance-smart-chain
SimpleAssets,https://simpleassets.io/,other,"telos,eos,wax"
Mercurial,https://mercurial.finance/,defi,solana
Kronos DAO,https://app.kronosdao.finance/,defi,klaytn
Cross Pool,https://app.hotcross.com/pools,defi,binance-smart-chain
VITA,https://iotex.io/vita,other,iotex
Melody Finance,https://melody.finance/,high-risk,binance-smart-chain
Ecency,https://ecency.com/,social,hive
Euphoria,https://app.euphoria.money/,defi,harmony
Bluewhale Protocol,https://bluewhale-protocol.com/,defi,klaytn
PlayDapp Marketplace,https://market.playdapp.com/,marketplaces,"ethereum,polygon"
CowSwap,https://cowswap.exchange/,defi,ethereum
Kolobok Adventures,https://wax.kolobok.io/,games,wax
NFTrade,https://nftrade.com/,marketplaces,"ethereum,polygon,binance-smart-chain,avalanche"
Dinosaur Eggs,https://dsgmetaverse.com/,marketplaces,binance-smart-chain
Train of the Century,https://play.trains.cards/,games,wax
StarCrazy,https://starcrazy.com/,games,iotex
BXH,https://www.bxh.com/,exchanges,okexchain
Mirandus,https://www.mirandus.game/,games,ethereum
Mimoswap v2,https://mimo.exchange/,exchanges,iotex
HeroCatGamefi,https://www.herocat.io/register/P228994,games,binance-smart-chain
Vulcan Market,https://market.vulcanforged.com/,marketplaces,vulcanforged
Celestial,https://celt.game/,games,"okexchain,binance-smart-chain"
Beast Garden,https://play.beastgarden.io/,games,wax
Foundation,https://foundation.app/,marketplaces,ethereum
Forsage BUSD,https://busd.forsage.io/b/oymxex,high-risk,binance-smart-chain
Port Finance,https://mainnet.port.finance/,defi,solana
Mirror,https://www.mirrorprotocol.app/,defi,"ethereum,binance-smart-chain"
SpaceCraftX,https://spacecraftx.io/,games,wax
PolyLion,https://polylion.exchange/,defi,polygon
0xUniverse,https://0xuniverse.com/,games,"ethereum,polygon"
Polychain Monsters,https://polychainmonsters.com/,collectibles,"ethereum,binance-smart-chain"
Idle Mystic,https://www.idlemystic.io/login,games,polygon
EpicHero,https://epichero.io/chest,games,binance-smart-chain
Pancake Bunny,https://pancakebunny.finance/,defi,binance-smart-chain
CAIT,https://caittoken.io/,defi,wax
Black Eye Galaxy,https://www.blackeyegalaxy.space/,games,binance-smart-chain
Faraland,https://faraland.io/,games,binance-smart-chain
Paçoca,https://pacoca.io/,defi,binance-smart-chain
Coinpirates,https://coinpirates.io/,games,wax
MicroPETS,https://pets.micropets.io/,defi,binance-smart-chain
Ref Finance,https://app.ref.finance/,exchanges,near
Autofarm,https://autofarm.network/,defi,"binance-smart-chain,okexchain,avalanche,polygon"
TTSwap,https://ttswap.space/#/swap?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website,exchanges,thundercore
Hashland,https://hashland.com/,games,binance-smart-chain
GNO City,https://www.gnocity.io/,games,wax
BunnyPark,https://www.bunnypark.com/,defi,binance-smart-chain
Dfyn Network,https://dfyn.network/,exchanges,polygon
BeGlobal.finance,https://dapp.beglobal.finance/,defi,binance-smart-chain
Dontplaywithkitty,https://dontplaywithkitty.io/,games,binance-smart-chain
Berserk: Vulcanites Unleashed,https://berserk.vulcanforged.com/,games,vulcanforged
Neo Tokyo Identities,https://opensea.io/collection/neo-tokyo-identities,collectibles,ethereum
Atrix,https://app.atrix.finance/,defi,solana
Green Rabbit Game,https://www.greenrabbitgame.io/,games,wax
ACryptoS,https://app.acryptos.com/,defi,binance-smart-chain
Nova Rally,https://play.novarally.io/,games,wax
Trade Race Manager,https://traderacemanager.com/user/referral/dappradar,games,polygon
Sunny Aggregator,https://app.sunny.ag/,defi,solana
Color Craze,https://esports.win4.fun/g/color-craze,games,thundercore
Math War,https://esports.win4.fun/g/math-race,games,thundercore
WAXTycoon,https://waxtycoon.io/,games,wax
Marinade Finance,https://marinade.finance/app,defi,solana
My Crypto Heroes,https://www.mycryptoheroes.net/,games,"ethereum,polygon"
Crypto Egg,https://cryptoegg.xyz/,high-risk,binance-smart-chain
LZ Swap,https://liquidity.lz.finance/,exchanges,binance-smart-chain
Crypto Dynasty (EOS),https://eos.cryptodynasty.one/,games,eos
NFTb,https://nftb.io/,marketplaces,binance-smart-chain
Buffer Finance,https://app.buffer.finance/,defi,binance-smart-chain
QiDao,https://app.mai.finance/,defi,polygon
Bunicorn Game,https://bunicorn.game/,games,binance-smart-chain
HEX,https://hex.com/,defi,ethereum
Larix,https://projectlarix.com/,defi,solana
KnightSwap,https://app.knightswap.financial/,exchanges,binance-smart-chain
Mysterium VPN,https://www.mysteriumvpn.com/,other,polygon
Olympus DAO,https://app.olympusdao.finance/,defi,ethereum
Brain Warp,https://esports.win4.fun/g/brain-warp,games,thundercore
Gswap by Gravis Finance,https://gravis.finance/,exchanges,"binance-smart-chain,polygon,other"
Alpaca Finance,https://app.alpacafinance.org/,defi,binance-smart-chain
MaticVerse,https://game.maticverse.io/,games,binance-smart-chain
Sorbet Finance by Gelato,https://www.sorbet.finance/,defi,polygon
Ellipsis Finance,https://ellipsis.finance/,defi,binance-smart-chain
Curve,https://beta.curve.fi/,defi,"ethereum,avalanche,polygon"
Jetswap,https://jetswap.finance/,exchanges,"binance-smart-chain,polygon"
Devikins,https://devikins.com/,games,tron
PixelPotus,https://www.pixelpotus.com/,collectibles,tezos
LEONICORN SWAP,https://dex.leonicornswap.com/home,defi,binance-smart-chain
Lydia Finance,https://www.lydia.finance/,defi,avalanche
ComethSwap,https://swap.cometh.io/,exchanges,polygon
Decentral Games,https://decentral.games/d603bb,gambling,polygon
